DocType: UOM,Set,Set
DocType: Production Step,Production Step,Produktionsschritt
DocType: Production Step,Production Steps,Produktionsschritte
DocType: Production Step,Production Step Type,Produktionsschrittart
Page: Production Control,Production Control,Fertigungszentrale
Page: Production Control,Scan Work Order QR-Code,QR-Code scannen
Page: Production Control,Remark,Anmerkung
Page: Production Control,Add remark,Anmerkung hinzufügen
Page: Production Control,Updated,Aktualisiert
DocType: Sales Invoice,Return,Gutschrift
DocType: Stanztech Settings,Stanztech Settings,Stanztech-Einstellungen
DocType: Stanztech Settings,Label Printer,Etikettendrucker
DocType: Stanztech Settings,Please define a label printer under Stanztech Settings.,Bitte wählen Sie einen Etikettendrucker in den Stanztech-Einstellungen
